
EX-99.1 2 a15-23059_1ex99d1.htm EX-99.1
,,67,2810542.73,0.00,0.00,0.00
,,68,3615156.71,0.00,0.00,0.00
,,69,2847428.72,0.00,0.00,0.00
,,70,226805.04,0.00,0.00,0.00
,,71,204421.15,0.00,0.00,0.00
,,72,84328.41,0.00,0.00,0.00
,,73,230620.96,0.00,0.00,0.00
,,74,559407.23,0.00,0.00,0.00
,,75,383262.65,0.00,0.00,0.00
,,76,87595.86,0.00,0.00,0.00
,,77,1227488.56,0.00,0.00,0.00
,,78,1879507.71,0.00,0.00,0.00
,,79,1140332.73,0.00,0.00,0.00
,,80,1550900.07,0.00,0.00,0.00
,,81,865604.09,0.00,0.00,0.00
,,82,0.00,0.00,0.00,0.00
,,83,0.00,0.00,0.00,0.00
,,84,0.00,0.00,0.00,0.00
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
,,84,0.00,0.00,0.00,0.00
,,85,0.00,0.00,0.00,0.00
,,86,0.00,0.00,0.00,0.00
Total Amount of Scheduled Cashflow,,Total,813227459.42,0.00,0.00,0.00
Discount Rate,,,4.850%,4.850%,4.850%,4.850%
Beginning Contract Value,,,733555170.01,0.00,0.00,0.00
Scheduled Contract Value Decline,,,2656195.81,0.00,0.00,0.00
Unscheduled Contract Value Decline,,,7202604.66,0.00,0.00,0.00
Additional Contract Value Added,,,0.00,0.00,0.00,0.00
Ending Contract Value,,,723696369.54,0.00,0.00,0.00
Aggregate Outstanding Balance,,,752520011.08
,1
CNH Equipment Trust 2015-C
"$160,000,000 Class A-1 0.40000% Asset Backed Notes due September 12, 2016"
"$129,000,000 Class A-2 1.10000% Asset Backed Notes due December 17, 2018"
"$129,000,000 Class A-2b One-Month LIBOR + 0.47% Asset Backed Notes due December 17, 2018"
"$238,000,000 Class A-3 1.660% Asset Backed Notes due November 16, 2020"
"$77,120,000 Class A-4 2.050% Asset Backed Notes due August 15, 2022"
"$16,880,000 Class B 2.400% Asset Backed Notes due February 15, 2023"
Dated Date (30/360),,,10/15/2015
Dated Date (act/360),,,10/15/2015
Scheduled Payment Date,,,11/15/2015
Actual Payment Date,,,11/16/2015
Days in accrual period (30/360),,,30
Days in accrual period (act/360),,,32
1 month LIBOR Rate,,,0.19575%
A-2b Note Rate for the next Interest Period,,,0.66575%
Note Distribution Account Deposit,,,$10597855.84
Certificate Distribution Account deposit,,,$0.00
First Principal Payment Amount,,,$9858800.47
Turbo Principal Payment Amount (this period),,,$1783730.56
Note Monthly Principal Distributable Amount (1),,,$11642531.03
Spread Account Initial Deposit,,,$16875008.82
Amount required to be deposited into the Collection Account during the calendar month,,,$12990750.56
Collateral Summary
Wtd. Average Discount Rate,,,4.850%
Beginning Contract Value,,,733555170.01
Scheduled Contract Value Decline,,,2656195.81
Unscheduled Contract Value Decline,,,7202604.66
Additional Contract Value Purchased,,,0.00
Ending Contract Value,,,723696369.54
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
Total Beginning Balance (Pool Balance + Pre-funding Account Balance),733555170.01
Pool Balance as of end of last day of preceding Collection Period,733555170.01
Total Ending Balance (Pool Balance + Pre-funding Account Balance),723696369.54
Purchase amount of Receivables purchased due to Modification Events in the related Collection Period,$0.00
Purchase amount of all other purchases and repurchases in the related Collection Period,$0.00
Collections and Reinvestment Income
Receipts During the period (net of servicer’s liquidation expenses),$12990750.56
Warranty Repurchases
Contracts deferred beyond Final Scheduled Maturity Date,$0.00
Government obligors,$0.00
Total Warranty Repurchases,$0.00
Total Collections For The Period,$12990750.56
Reinvestment Income,$2298.49
Total Collections + Reinvestment Income For The Period,$12993049.05
(1)  ³ Following is a simplified summary of how the Note Monthly Principal Distributable Amount is calculated: The Note
Monthly Principal Distributable Amount shown above with respect to any Payment Date will equal the amount necessary to be
paid on the Notes to reduce the Outstanding Amount of the Notes — after giving effect to the application of the First Principal
P ayment Amount (set forth in the line above the ³ Note Monthly Principal Distributable Amount”) to reduce such Outstanding
"Amount — to an amount equal to the Pool Balance as of the beginning of the current Collection Period, less the Cumulative"
Turbo Principal Payment Amount (overcollateralization) as of the previous Payment Date; provided that (a) the Note Monthly
P rincipal Distributable Amount shall not exceed the aggregate Outstanding Amount of the Notes (after giving effect to the
application of the First Principal Payment Amount to reduce such Outstanding Amount) and (b) on the final maturity date for
"each Class of Notes, the Note Monthly Principal Distributable Amount will at least equal the amount necessary to repay the"
Outstanding Amount of that Class of Notes and of any other Class of Notes payable prior to that Class of Notes (after giving
effect to the application of the First Principal Payment Amount to reduce such Outstanding Amount). For purposes of the
"preceding sentence, the A-1 Notes, A-2 Notes, A-3 Notes and the A-4 Notes shall each be deemed to be a separate Class of"
Notes.  Please see the transaction documents previously filed with respect to this issuing entity under Form 8-K for details
regarding all of the preceding calculations and for the definitions of defined terms.”
2
CNH Equipment Trust 2015-C
"$160,000,000 Class A-1 0.40000% Asset Backed Notes due September 12, 2016"
"$129,000,000 Class A-2 1.10000% Asset Backed Notes due December 17, 2018"
"$129,000,000 Class A-2b One-Month LIBOR + 0.47% Asset Backed Notes due December 17, 2018"
"$238,000,000 Class A-3 1.660% Asset Backed Notes due November 16, 2020"
"$77,120,000 Class A-4 2.050% Asset Backed Notes due August 15, 2022"
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
"$16,880,000 Class B 2.400% Asset Backed Notes due February 15, 2023"
Actual Payment Date,,G eneral,,Party Receiving,11/16/2015
,,Purpose of,,Fee or Expense
Calculation of Distributable Amounts,,Fee or Expense,,Amount
Backup Servicer Engaged?,,,,,NO
CNH,,,,,CNH
Current Servicing Fee Due,,,,,$611295.98
P ast Due Servicing Fee,,,,,$0.00
Total Servicing Fee Due,,P rovide for servicer as required,,NH Credit,$611295.98
,,,,Company LLC
Current Administration Fee Due,,,$500.00,,$166.67
P ast Due Administration Fee,,,,,$0.00
Total Administration Fee Due,,P rovide for trust administrator,,CNH Capital,$166.67
,,,,America LLC
Reimburseable Expenses of the Servicer Due,,,,,$0.00
P ast Due Reimburseable Expenses of the Servicer,,,,,$0.00
Total Reimburseable Expenses of the Servicer Due,,To cover expenses of servicer,,NH Credit,$0.00
,,,,Company LLC
Total Principal Balance of Notes (Beginning of Period),,,,,$729854476.09
A-1 notes Beginning Principal balance,,,,,$139854476.09
A-2a notes Beginning Principal balance,,,,,$129000000.00
A-2b notes Beginning Principal balance,,,,,$129000000.00
A-3a notes Beginning Principal balance,,,,,$238000000.00
A-4a notes Beginning Principal balance,,,,,$77120000.00
B notes Beginning Principal balance,,,,,$16880000.00
,,Coupon/,Swap Adj.
,Type,Spread,Coupon,Daycount
A-1 notes Current Interest Due,Fix,0.40000%,0.40000%,act/360,$49726.04
A-2a notes Current Interest Due,Fix,1.10000%,1.10000%,30/360,$118250.00
A-2b notes Current Interest Due,Flt,0.47000%,0.47000%,act/360,$76339.33
A-3a notes Current Interest Due,Fix,1.66000%,1.66000%,30/360,$329233.33
A-4a notes Current Interest Due,Fix,2.05000%,2.05000%,30/360,$131746.67
B notes Current Interest Due,Fix,2.40000%,2.40000%,30/360,$33760.00
A-1 notes Past Due Interest,,,,,$0.00
A-2a notes Past Due Interest,,,,,$0.00
A-2b notes Past Due Interest,,,,,$0.00
A-3a notes Past Due Interest,,,,,$0.00
A-4a notes Past Due Interest,,,,,$0.00
B notes Past Due Interest,,,,,$0.00
A-1 notes Interest Due on Past Due Interest,,,,,$0.00
A-2a notes Interest Due on Past Due Interest,,,,,$0.00
A-2b notes Interest Due on Past Due Interest,,,,,$0.00
A-3a notes Interest Due on Past Due Interest,,,,,$0.00
A-4a notes Interest Due on Past Due Interest,,,,,$0.00
B notes Interest Due on Past Due Interest,,,,,$0.00
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
A-1 notes Total Interest Due,,$49726.04
A-2a notes Total Interest Due,,$118250.00
A-2b notes Total Interest Due,,$76339.33
A-3a notes Total Interest Due,,$329233.33
A-4a notes Total Interest Due,,$131746.67
B notes Total Interest Due,,$33760.00
A-1 notes Principal Due,,$9858800.47
A-2a notes Principal Due,,$0.00
A-2b notes Principal Due,,$0.00
A-3a notes Principal Due,,$0.00
A-4a notes Principal Due,,$0.00
Class B notes Principal Due,,$0.00
Total notes Interest Due,,$739055.37
Total notes Principal Due,,$9858800.47
Total notes Distributable Amount,,$10597855.84
,3
CNH Equipment Trust 2015-C
"$160,000,000 Class A-1 0.40000% Asset Backed Notes due September 12, 2016"
"$129,000,000 Class A-2 1.10000% Asset Backed Notes due December 17, 2018"
"$129,000,000 Class A-2b One-Month LIBOR + 0.47% Asset Backed Notes due December 17, 2018"
"$238,000,000 Class A-3 1.660% Asset Backed Notes due November 16, 2020"
"$77,120,000 Class A-4 2.050% Asset Backed Notes due August 15, 2022"
"$16,880,000 Class B 2.400% Asset Backed Notes due February 15, 2023"
Actual Payment Date,,11/16/2015
Cash Available for Distribution
Total Collections + Reinvestment Income For The Period,,$12993049.05
Beginning Spread Account Balance,,$16875008.82
Deposits from Spread Account to Distribution Account,,$0.00
Total Cash Available,,$12993049.05
Cash Allocation (Cashflow Waterfall),,,Available
,,,Cash
,,,12993049.05
Servicing Fee Paid,,$611295.98
Servicing Fee Shortfall,,$0.00
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
,,,$12381753.07
Administration Fee Paid,,$166.67
Administration Fee Shortfall,,$0.00
,,,$12381586.40
Remaining Cash Available to Pay Note Interest & Swap Termination Payment,,,$12381586.40
Cash Available to Pay Note Interest,,$12381586.40
Cash Available to Pay Termination Payment,,$12381586.40
Class A-1 notes Interest Paid,,$49726.04
Class A-2a notes Interest Paid,,$118250.00
Class A-2b notes Interest Paid,,$76339.33
Class A-3a notes Interest Paid,,$329233.33
Class A-4a notes Interest Paid,,$131746.67
,,,$11676291.03
Class A-1 notes Interest Shortfall,,$0.00
Class A-2a notes Interest Shortfall,,$0.00
Class A-2b notes Interest Shortfall,,$0.00
Class A-3a notes Interest Shortfall,,$0.00
Class A-4a notes Interest Shortfall,,$0.00
First Principal Payment Amount,,$9858800.47
,,,$11676291.03
Class B notes Interest Paid,,$33760.00
Class B notes Interest Shortfall,,$0.00
,,,$11642531.03
Class A-1 notes Principal Paid - excluding Turbo principal payment,,$9858800.47
Class A-2a notes Principal Paid,,$0.00
Class A-2b notes Principal Paid,,$0.00
Class A-3a notes Principal Paid,,$0.00
Class A-4a notes Principal Paid,,$0.00
Class B notes Principal Paid,,$0.00
,,,1783730.56
Deposits to Spread Account,,$0.00
Turbo Principal Payment Amount (this period),,$1783730.56
Reimbursable expenses of the Servicer Paid,,$0.00
Reimbursable expenses of the Servicer Shortfall,,$0.00
,,,$0.00
Total Principal Balance of Notes (End of Period),,$718211945.06
A-1 notes Ending Principal balance,,$128211945.06
A-2a notes Ending Principal balance,,$129000000.00
A-2b notes Ending Principal balance,,$129000000.00
A-3a notes Ending Principal balance,,$238000000.00
A-4a notes Ending Principal balance,,$77120000.00
B notes Ending Principal balance,,$16880000.00
Cumulative Turbo Principal Payment Amount (overcollateralization),,$5484424.48
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
Release excess to the Certificateholders,,,,,$0.00,$0.00
,,,4
CNH Equipment Trust 2015-C
"$160,000,000 Class A-1 0.40000% Asset Backed Notes due September 12, 2016"
"$129,000,000 Class A-2 1.10000% Asset Backed Notes due December 17, 2018"
"$129,000,000 Class A-2b One-Month LIBOR + 0.47% Asset Backed Notes due December 17, 2018"
"$238,000,000 Class A-3 1.660% Asset Backed Notes due November 16, 2020"
"$77,120,000 Class A-4 2.050% Asset Backed Notes due August 15, 2022"
"$16,880,000 Class B 2.400% Asset Backed Notes due February 15, 2023"
Actual Payment Date,,,,,,11/16/2015
Summary and Factors,,,,,,Amount,Factor,Per/$1000
Total Principal Balance of Notes (Beginning of Period),,,,,,$729854476.09,0.9731393,$973.14
A-1 notes Beginning Principal balance,,,,,,$139854476.09,0.8740905,$874.09
A-2a notes Beginning Principal balance,,,,,,$129000000.00,"1.0000000 $1,000.00"
A-2b notes Beginning Principal balance,,,,,,$129000000.00,"1.0000000 $1,000.00"
A-3a notes Beginning Principal balance,,,,,,$238000000.00,"1.0000000 $1,000.00"
A-4a notes Beginning Principal balance,,,,,,$77120000.00,"1.0000000 $1,000.00"
B notes Beginning Principal balance,,,,,,$16880000.00,"1.0000000 $1,000.00"
Total Principal Balance of Notes (End of Period),,WAL,,,,$718211945.06,0.9576159,$957.62
A-1 notes Ending Principal balance,,0.39,,"$160,000,000.00   Pro-Rata",,$128211945.06,0.8013247,$801.32
A-2a notes Ending Principal balance,,1.15,,$129000000.00,50.00%,$129000000.00,"1.0000000 $1,000.00"
A-2b notes Ending Principal balance,,1.15,,$129000000.00,50.00%,$129000000.00,"1.0000000 $1,000.00"
A-3a notes Ending Principal balance,,2.58,,$238000000.00,,$238000000.00,"1.0000000 $1,000.00"
A-4a notes Ending Principal balance,,3.88,,$77120000.00,,$77120000.00,"1.0000000 $1,000.00"
B notes Ending Principal balance,,3.91,,$16880000.00,,$16880000.00,"1.0000000 $1,000.00"
Class A-1 notes Interest Paid,,,,,,$49726.04,0.0003108,$0.31
Class A-2a notes Interest Paid,,,,,,$118250.00,0.0009167,$0.92
Class A-2b notes Interest Paid,,,,,,$76339.33,0.0005918,$0.59
Class A-3a notes Interest Paid,,,,,,$329233.33,0.0013833,$1.38
Class A-4a notes Interest Paid,,,,,,$131746.67,0.0017083,$1.71
Class B notes Interest Paid,,,,,,$33760.00,0.0020000,$2.00
Class A-1 notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
Class A-2a notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
Class A-2b notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
Class A-3a notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
Class A-4a notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
Class B notes Interest Shortfall,,,,,,$0.00,0.0000000,$0.00
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
Class A-1 notes Principal Paid - including Turbo principal payment,,,,,,$11642531.03,0.0727658,$72.77
Class A-2a notes Principal Paid,,,,,,$0.00,0.0000000,$0.00
Class A-2b notes Principal Paid,,,,,,$0.00,0.0000000,$0.00
Class A-3a notes Principal Paid,,,,,,$0.00,0.0000000,$0.00
Class A-4a notes Principal Paid,,,,,,$0.00,0.0000000,$0.00
Class B notes Principal Paid,,,,,,$0.00,0.0000000,$0.00
Spread Account
Required Spread Account Deposit (Add Loans),,,,2.25%,,$0.00
Spread Account Test - 3 Month Average Delinquency Ratio,,,,,,0.0073%
Spread Account Test - Cumulative Net Loss Ratio,,,,,,0.0007%
Spread Account Test Met,Original,"February 15, 2017",,"August 15, 2017","February 15, 2018",NO
Required Spread Account Target,2.25%,2.00%,,1.75%,1.50%,$16875008.82
Required Spread Account,,,,,"August 15, 2018",$16875008.82
Beginning Spread Account Balance,,,,,1.15%,$16875008.82
Additional Deposit to Spread Account from Pre-funding,,,,,,$0.00
Spread Account Withdrawals to Distribution Account,,,,,,$0.00
Spread Account Deposits from Excess Cash,,,,,,$0.00
Spread Account Released to Seller,,,,,,$0.00
Ending Spread Account Balance,,,,,,$16875008.82
,,,,,Original
Purchases,Units,Cut-Off Date,,Closing Date,Pool Balance
Initial Purchase,16952,,7/31/15,8/19/15,750000391.99
Subsequent Purchase #1,0,,,,0.00
Subsequent Purchase #2,0,,,,0.00
Total,16952,,,,750000391.99
Total Release to Seller,,,,,,$611462.65
³ The Administrator hereby directs the Indenture Trustee to pay on the Payment Date set forth above from the Certificate Distribution Account to the
"Certificateholders, on a pro rata basis, zero payment .”"
,,,5
Spread Account Triggers
Average Delinquency Ratio Test*
P ayment Date
Feb-17,1.75%
Aug-17,2.50%
Feb-18,3.00%
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
Aug-18,3.50%
Second Prior Month Delinquency Ratio,,,,,0.0000%
P rior Month Delinquency Ratio,,,,,0.0029%
Current Month Delinquency Ratio,,,,,0.0190%
3 Month Average Delinquency Ratio,,,,,0.0073%
Test,,,,,,Variance,Trigger
Current Distribution Date,,,,,11/15/2015
"(1)   Is current distribution month February, 2017 or August , 2017, or February, 2018 or August, 2018 ?",,,,,NO
(2)  Is the 3 Month Average Delinquency Ratio < Specified Percentage for specified month?,,,,,NO,-0.0073%,0.00%
If both (1) and (2) are ³ YES” then see Cumulative Net Loss Ratio,,,,,NO
Cumulative Net Loss Ratio Test**
P ayment Date
Feb-17,0.40%
Aug-17,0.55%
Feb-18,0.65%
Aug-18,0.75%
Cumulative Net Loss Ratio,,,,,0.0007%
Test,,,,,,Variance,Trigger
"(1)   Is current distribution month February, 2017 or August , 2017, or February, 2018 or August, 2018 ?",,,,,NO
(2)  Is the Cumulative Net Loss Ratio < Specified Percentage for specified month?,,,,,NO,-0.0007%,0.00%
If both (1) and (2) are ³ YES” then see next test below,,,,,NO
"If the 3 Month Average Delinquency and Cumulative Net Loss Ratio tests are met, then spread account reduces to 2.00% at"
February 2017 and/or 1.75% at August 2017 and/or 1.50% at February 2018 and/or 1.15% at August 2018,,,,,NO
DEFINITIONS:
Average Delinquency Ratio Test*
On any payment date will be the average of the Delinquency Ratios for the preceding three calendar months. The Delinquency
"Ratio for any calendar month means the ratio, expressed as a percentage, of (a) the sum, for all of the receivables, of all scheduled"
payments that are 60 days or more past due (other than Purchased Receivables and liquidated receivables) as of the end of such
"month, determined in accordance with the servicer’s then-current practices, to (b) the Pool Balance as of the last day of such"
month.
Cumulative Net Loss Ratio Test**
"The Cumulative Net Loss Ratio on any payment date will be the ratio, expressed as a percentage, of (a) the aggregate Realized"
"Losses on the receivables since their cutoff date through the last day of the related calendar month, to (b) the sum of (i) the Pool"
Balance as of the initial cutoff date and (ii) the sum of the Contract Values of all receivables purchased with amounts on deposit
"in the pre-funding account, each as of the related cutoff date for the related receivable."
,,,6
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
POOL STATISTICS
Collateral Composition
Number of Loans at Beginning of Period,"16,",669
Number of Loans at End of Period,,16544
Weighted Average Coupon on Receivables,,2.37
Weighted Average Original Term on Receivables,,60.66
Weighted Average Remaining Term on Receivables,,52.73
Note Pool Factor,,0.95762
A-1 Note Pool Factor,,0.80132
A-2a Note Pool Factor,,1.00000
A-2b Note Pool Factor
A-3a Note Pool Factor,,1.00000
A-4a Note Pool Factor,,1.00000
B Note Pool Factor,,1.00000
Unscheduled Contract Value decline - monthly,,7202604.66
Unscheduled Contract Value decline - LTD,,20277300.72
Call Factor - based on Ending Contract Value,,96.49%
Collateral Performance
Contractural Delinquency: (Excluding Liquidated and Purchased Contracts),,Count,%,Amount %
< 31 Days delinquent,,295,1.78%,"11,201,989.041.49%"
31-60 Days delinquent,,31,0.19%,"703,698.920.09%"
61-90 Days delinquent,,8,0.05%,"1,902,070.390.25%"
91-120 Days delinquent,,11,0.07%,"331,408.640.04%"
121-150 Days delinquent,,0,0.00%,0.000.00%
151-180 Days delinquent,,0,0.00%,0.000.00%
181 + Days delinquent,,0,0.00%,0.000.00%
TOTAL,(Delinquency data is for total contract balance past due),345,2.09%,"14,139,166.991.88%"
Scheduled Amounts 30 - 59 days past due,,$60917.42,0.01%
Scheduled Amounts 60 days or more past due,,$137710.83,0.02%
Losses on Liquidated Receivables,,Month $,Month #,LTD $  LTD
,,,,#
Gross Losses (2),,$5079.12,2,$5079.12,2
Net Loss as % of the Average Portfolio Balance,,0.001%,,0.001%
Net Loss as a % of the Initial Deal Size,,0.001%,,0.001%
Average Net Loss on all assets that have experienced a net loss,,2539.56,,2539.56
Realized Losses
Net Losses on Liquidated Receivables,,$5079.12,0.00%
Write Down Amount on 180 Day Receivables,,$0.00
Monthly Realized Losses (Total),,$5079.12
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
,Cumulative Net Losses on Liquidated Receivables,$5079.12
,Cumulative Write Down Amount on 180 Day Receivables,$0.00
,Cumulative Realized Losses (Total),$5079.12
,Repossession Inventory and 180-Day Receivables
,Repossessed Equipment not Sold or Reassigned (Beginning),$4479.95
,Repossessed Equipment not Sold or Reassigned (End),$16331.18
,Outstanding Balance of 180 Day Receivables (Beg of month),$0.00
,Outstanding Balance of 180 Day Receivables (End of month),$0.00
,(2) The realizable estimated loss at the time of repossession or full charge-off if written off without a repossession
,(3) Sum of the monthly loss number of accounts will not equal the life-to-date number of accounts due to loss activity on the
,same account in multiple months.  Duplicate accounts in multiple months have been removed.
,(4) Outstanding balance of 180-day receivables is equal to principal and other fees.
,STATEMENTS TO NOTEHOLDERS
1,"Has there been a material change in practices with respect to charge offs, collection and management of delinquent",NO
,"Receivables, and the effect of any grace period, re-aging, re-structuring, partial payments or other practices on delinquency"
,and loss experience ?
2,"Have there been any material modifications, extensions or waivers to Receivables terms, fees, penalties or payments during",NO
,the Collection Period ?
3,"Have there been any material breaches of representations, warranties or covenants contained in the Receivables ?",NO
4,Has there been an issuance of notes or other securities backed by the Receivables ?,NO
5,"Has there been a material change in the underwriting, origination or acquisition of Receivables ?",NO
,7
Interest and principal Payments Pursuant to Section 5.6 (d) and (e) (II) of the sale and Servicing Agreement
,Distribution Amount,Class A-1 Notes
,1.   Interest Due on each Payment Date (assuming no Principal Reduction)
,9/15/2015
,10/15/2015
,11/16/2015,49726.03594
,12/15/2015,41312.74
,1/15/2016,44161.89
,2/15/2016,44161.89
,3/15/2016,41312.74
,4/15/2016,44161.89
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
5/16/2016,44161.89
6/15/2016,42737.32
7/15/2015,42737.32
8/15/2015,44161.89
9/15/2015,44161.89
2.  Total Outstanding Principal Payment Due at Final Scheduled Maturity Date,128211945.06
3.  Final Scheduled Maturity Date,"September 12, 2016"
Distribution Amount,Class A-2 Notes,Class A-3 Notes,Class A-4 Notes
1.   Interest Due on each following Payment Date (assuming no Principal Reduction),194589.33,329233.33,131746.67
2.  Total Outstanding Principal Payment Due at Final Scheduled Maturity Date,258000000.00,238000000.00,77120000.00
3.  Final Scheduled Maturity Date,"December 17, 2018","November 16, 2020","August 15, 2022"
Distribution Amount,Class B Notes
1.   Interest Due on each following Payment Date (assuming no Principal Reduction),33760.00
2.  Total Outstanding Principal Payment Due at Final Scheduled Maturity Date,16880000.00
3.  Final Scheduled Maturity Date,"February 15, 2023"
8
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
